01234,567
01235,467
01236,457
01237,456
01245,367
01246,357
01247,356
01256,347
01257,346
01267,345
01345,267
01346,257
01347,256
01356,247
01357,246
01367,245
01456,237
01457,236
01467,235
01567,234
02345,167
02346,157
02347,156
02356,147
02357,146
02367,145
02456,137
02457,136
02467,135
02567,134
03456,127
03457,126
03467,125
03567,124
04567,123
12345,067
12346,057
12347,056
12356,047
12357,046
12367,045
12456,037
12457,036
12467,035
12567,034
13456,027
13457,026
13467,025
13567,024
14567,023
23456,017
23457,016
23467,015
23567,014
24567,013
34567,012
