0123,4567
0124,3567
0125,3467
0126,3457
0127,3456
0134,2567
0135,2467
0136,2457
0137,2456
0145,2367
0146,2357
0147,2356
0156,2347
0157,2346
0167,2345
0234,1567
0235,1467
0236,1457
0237,1456
0245,1367
0246,1357
0247,1356
0256,1347
0257,1346
0267,1345
0345,1267
0346,1257
0347,1256
0356,1247
0357,1246
0367,1245
0456,1237
0457,1236
0467,1235
0567,1234
1234,0567
1235,0467
1236,0457
1237,0456
1245,0367
1246,0357
1247,0356
1256,0347
1257,0346
1267,0345
1345,0267
1346,0257
1347,0256
1356,0247
1357,0246
1367,0245
1456,0237
1457,0236
1467,0235
1567,0234
2345,0167
2346,0157
2347,0156
2356,0147
2357,0146
2367,0145
2456,0137
2457,0136
2467,0135
2567,0134
3456,0127
3457,0126
3467,0125
3567,0124
4567,0123
